20160105X24817 | Accident | GAA16CA095 | 12/30/2015 | Fort Worth, TX | United States | 32.814444 | -97.364722 | FTW | FORT WORTH MEACHAM INTL | Non-Fatal | Substantial | Airplane | N2135B | PIPER | PA 28-161 | No | 1 | Reciprocating | Part 91: General Aviation |  | Instructional |  |  |  |  | 2 | VMC | APPROACH | Probable Cause | 02/08/2016 | 
20151221X11404 | Accident | GAA16CA084 | 12/20/2015 | New Castle, PA | United States | 41.026667 | -80.413333 | UCP | NEW CASTLE MUNI | Non-Fatal | Substantial | Airplane | N5667Z | PIPER | PA22 | No | 1 | Reciprocating | Part 91: General Aviation |  | Personal |  |  |  |  | 1 | VMC | LANDING | Probable Cause | 03/14/2016 | 
20151220X51805 | Accident | ERA16FA075 | 12/20/2015 | Winder, GA | United States | 33.935000 | -83.602500 |  | N/A | Fatal(1) | Destroyed | Airplane | N2074P | BEECH | C24R | No | 1 | Reciprocating | Part 91: General Aviation |  | Personal |  | 1 |  |  |  | VMC | CRUISE | Preliminary | 01/04/2016 | 
20151220X04641 | Accident | WPR16FA041 | 12/19/2015 | Bakersfield, CA | United States | 35.288055 | -119.147500 | RHV | REID-HILLVIEW OF SANTA CLARA C | Fatal(5) | Destroyed | Airplane | N36402 | PIPER | PA 32RT-300T | No |  |  | Part 91: General Aviation |  | Personal |  | 5 |  |  |  | VMC |  | Preliminary | 01/06/2016 | 
20151229X10343 | Accident | GAA16CA090 | 12/19/2015 | Portales, NM | United States | 34.145833 | -103.409444 | PRZ | PORTALES MUNI | Non-Fatal | Substantial | Airplane | N97411 | STINSON | 108 | No | 1 | Reciprocating | Part 91: General Aviation |  | Instructional |  |  |  |  | 2 | VMC |  | Probable Cause | 04/05/2016 | 
20151222X35249 | Accident | ERA16LA076 | 12/19/2015 | Guanica, PR | United States | 17.989722 | -66.925556 |  | N/A | Non-Fatal | Substantial | Airplane | N124LP | PORRATA LUIS G | RANS S 12XL | Yes | 1 | Reciprocating | Part 91: General Aviation |  | Personal |  |  |  |  | 1 | VMC |  | Preliminary | 01/07/2016 | 
20151223X30310 | Incident | DCA16IA036 | 12/19/2015 | Seattle, WA | United States | 47.463611 | -122.313333 | SEA | SEATTLE-TACOMA INTL | Incident |  | Airplane | N477AS | BOEING | 737 | No | 2 | Turbo Fan | Part 121: Air Carrier | SCHD |  | ALASKA AIRLINES INC |  |  |  | 153 | VMC | LANDING | Preliminary | 02/12/2016 | 
20151224X13918 | Accident | CEN16LA068 | 12/19/2015 | Baytown, TX | United States | 29.761944 | -94.848055 | 54T | RWJ AIRPARK | Non-Fatal | Substantial | Airplane | N2694F | CESSNA | 182J | No | 1 | Reciprocating | Part 91: General Aviation |  | Personal |  |  | 1 | 1 |  | VMC | LANDING | Probable Cause | 08/16/2016 | 
20151218X40201 | Accident | GAA16CA083 | 12/17/2015 | Friendswood, TX | United States | 29.504722 | -95.175278 | 7XS0 | POLLY RANCH | Non-Fatal | Substantial | Airplane | N9860U | GRUMMAN AMERICAN AVN. CORP. | AA-5A | No | 1 | Reciprocating | Part 91: General Aviation |  | Personal |  |  |  |  | 1 | VMC | LANDING | Probable Cause | 02/08/2016 | 
20151218X21206 | Accident | ERA16FA074 | 12/17/2015 | Greenville, FL | United States | 30.354167 | -83.610833 |  | N/A | Fatal(2) | Substantial | Airplane | N77BP | HINTON PAUL M | RV 4 | Yes | 1 | Reciprocating | Part 91: General Aviation |  | Personal |  | 2 |  |  |  | IMC |  | Preliminary | 01/06/2016 | 
20151216X35510 | Accident | ERA16LA070 | 12/16/2015 | Charles Town, WV | United States | 39.238889 | -77.906389 |  | N/A | Non-Fatal | Substantial | Airplane | N614CD | CIRRUS DESIGN CORP | SR20 | No | 1 | Reciprocating | Part 91: General Aviation |  | Instructional |  |  |  |  | 2 | VMC | MANEUVERING | Preliminary | 01/04/2016 | 
20151222X41221 | Accident | CEN16WA066 | 12/16/2015 | Mixco, Guatemala | Guatemala | 14.633056 | -90.606389 |  |  | Non-Fatal | Substantial | Helicopter |  | BELL | 407 |  |  |  |  |  |  |  |  | 1 |  | 2 |  |  | Foreign |  | 
20151217X15124 | Accident | ANC16LA010 | 12/16/2015 | Valdez, AK | United States |  |  | VDZ | VALDEZ PIONEER FIELD | Non-Fatal | Substantial | Helicopter | N255VS | ROBINSON HELICOPTER COMPANY | R44 II | No | 1 | Reciprocating | Part 91: General Aviation |  | Aerial Observation |  |  |  |  | 3 | VMC | TAKEOFF | Preliminary | 12/21/2015 | 
20151216X13718 | Accident | WPR16FA040 | 12/15/2015 | Superior, AZ | United States | 33.425278 | -111.154722 |  | N/A | Fatal(2) | Substantial | Helicopter | N74317 | AIRBUS Helicopters | AS350 | No |  |  | Part 135: Air Taxi & Commuter | NSCH |  | AIR METHODS CORP | 2 | 1 |  |  | VMC | MANEUVERING | Preliminary | 01/04/2016 | 
20151217X13937 | Accident | ERA16LA071 | 12/15/2015 | Brunswick, GA | United States | 31.158889 | -81.489166 | SSI | Malcolm McKinnon | Non-Fatal | Substantial | Airplane | N8675N | PIPER | PA-32 | No | 1 | Reciprocating | Part 91: General Aviation |  | Personal |  |  |  | 2 |  | VMC | CRUISE | Probable Cause | 08/16/2016 | 
20151216X41606 | Accident | DCA16LA032 | 12/15/2015 | Nashville, TN | United States |  |  |  |  | Non-Fatal |  | Airplane | N649SW | BOEING | 737 3H4 |  | 2 | Turbo Fan | Part 121: Air Carrier | SCHD |  | Southwest Airlines |  |  |  | 138 |  |  | Preliminary | 01/14/2016 | 
20151215X04749 | Accident | WPR16LA039 | 12/14/2015 | Corona, CA | United States | 33.891944 | -117.601389 | AJO | Corona Municipal Airport | Non-Fatal | Substantial | Airplane | N5863Q | MOONEY | M20E |  | 1 | Reciprocating | Part 91: General Aviation |  | Personal |  |  |  |  | 1 | VMC | TAKEOFF | Preliminary | 12/18/2015 | 
20151216X50717 | Accident | GAA16CA082 | 12/13/2015 | Reidsville, NC | United States | 36.437222 | -79.851111 | SIF | ROCKINGHAM COUNTY NC SHILOH | Non-Fatal | Substantial | Airplane | N1316V | AERONCA | 7BCM | No | 1 | Reciprocating | Part 91: General Aviation |  | Air Drop |  |  |  |  | 1 | VMC | MANEUVERING | Probable Cause | 03/14/2016 | 
20151215X64338 | Accident | GAA16CA080 | 12/13/2015 | Broadus, MT | United States | 45.120000 | -105.434166 |  | N/A | Non-Fatal | Substantial | Airplane | N29712 | AVIAT | A1 | No | 1 | Reciprocating | Part 91: General Aviation |  | Personal |  |  |  | 1 |  | VMC |  | Probable Cause | 04/05/2016 | 
20151215X04222 | Accident | GAA16CA079 | 12/13/2015 | Rimrock, AZ | United States | 34.651111 | -111.787500 | 48AZ | RIMROCK | Non-Fatal | Substantial | Airplane | N113LM | MCMICHAEL ELMER L | LANCAIR 360 | Yes | 1 | Reciprocating | Part 91: General Aviation |  | Personal |  |  |  |  | 1 | VMC | LANDING | Probable Cause | 03/14/2016 | 
20151215X70000 | Accident | ERA16WA069 | 12/13/2015 | Suvorovskaya, Russia | Russia | 44.193889 | 42.689722 |  | N/A | Fatal(4) | Destroyed | Airplane |  | HAWKER BEECH | A36TC | No | 1 | Reciprocating | Non-U.S., Non-Commercial |  | Personal |  | 4 |  |  |  | IMC |  | Foreign |  | 
20151217X31910 | Accident | ERA16LA073 | 12/13/2015 | Kennesaw, GA | United States | 34.013056 | -84.597500 | RYY | COBB COUNTY-MC COLLUM FIELD | Non-Fatal | Substantial | Airplane | N7675Q | CESSNA | 310 | No | 2 | Reciprocating | Part 91: General Aviation |  | Personal |  |  |  |  | 2 | VMC | LANDING | Probable Cause | 03/14/2016 | 
20151214X52840 | Accident | ERA16LA067 | 12/13/2015 | Lenoir, NC | United States | 35.944444 | -81.490000 | NC27 | LOWER CREEK | Non-Fatal | Destroyed | Airplane | N92744 | GOLDEN CIRCLE AIR INC | T BIRD II | Yes | 1 | Reciprocating | Part 91: General Aviation |  | Personal |  |  | 1 |  |  | VMC |  | Preliminary | 12/22/2015 | 
20151222X81747 | Accident | GAA16LA087 | 12/12/2015 | Clearwater, FL | United States | 27.977223 | -82.759167 | CLW | CLEARWATER AIR PARK | Non-Fatal | Substantial | Airplane | N27405 | PIPER | PA 31-350 | No | 2 | Reciprocating | Part 91: General Aviation |  | Personal |  |  |  |  | 3 | VMC | LANDING | Preliminary | 02/01/2016 | 
20151221X34338 | Accident | GAA16CA085 | 12/12/2015 | Tracy, CA | United States | 37.678056 | -121.301389 | 1Q4 | NEW JERUSALEM | Non-Fatal | Substantial | Airplane | N35KF | KELM DAVID | KITFOX 7 | Yes | 1 | Reciprocating | Part 91: General Aviation |  | Personal |  |  |  |  | 1 | VMC | LANDING | Probable Cause | 02/08/2016 | 
20151217X21921 | Accident | ERA16WA072 | 12/12/2015 | Mendoza Province, Argentina | Argentina | -32.994444 | -69.145555 |  | N/A | Fatal(2) | Substantial | Helicopter |  | BELL | 206 | No | 1 | Turbo Shaft | Non-U.S., Non-Commercial |  | Unknown |  | 2 |  |  |  |  |  | Foreign |  | 
20151214X65358 | Accident | ERA16LA068 | 12/12/2015 | Benton, TN | United States | 35.224167 | -84.584722 | 92A | Chihowee Gliderport | Fatal(1) | Substantial | Ultralight | N6202N | MCCORKLE ROBERT B | RANS S 12 AIRAILE | Yes | 1 | Reciprocating | Part 91: General Aviation |  | Personal |  | 1 |  |  |  | VMC | TAKEOFF | Preliminary | 01/26/2016 | 
20151214X04724 | Accident | ERA16LA065 | 12/12/2015 | Modena, NY | United States | 41.662778 | -74.074445 | 2NK9 | OLD ORCHARD AIRPARK | Non-Fatal | Substantial | Airplane | N9410 | DEHAVILLAND | TIGER MOTH DH 82A | No | 1 | Reciprocating | Part 91: General Aviation |  | Personal |  |  |  |  | 2 | VMC | TAKEOFF | Preliminary | 12/17/2015 | 
20160112X24550 | Accident | DCA16CA050 | 12/12/2015 | Buenos Aires, Argentina | Argentina | 0.000000 | 0.000000 |  | N/A | Non-Fatal |  | Airplane | N784AN | BOEING | 777 223 | No | 2 |  | Part 121: Air Carrier | SCHD |  | AMERICAN AIRLINES INC |  | 1 |  | 12 | UNK |  | Probable Cause | 06/20/2016 | 
20151214X32358 | Accident | ERA16LA066 | 12/11/2015 | Fayetteville, NC | United States | 34.990000 | -78.829723 |  | N/A | Non-Fatal | Substantial | Airplane | N3241N | RAYTHEON AIRCRAFT COMPANY | A36 | No | 1 | Reciprocating | Part 91: General Aviation |  | Personal |  |  | 1 | 3 |  | VMC |  | Preliminary | 12/29/2015 | 
20151211X62058 | Accident | ERA16FA064 | 12/11/2015 | Farmington, PA | United States | 39.813889 | -79.535277 | PA88 | Nemacolin Airport | Fatal(3) | Destroyed | Airplane | N72054 | BEECH | A36 | No | 1 | Reciprocating | Part 91: General Aviation |  | Personal |  | 3 |  |  |  | VMC | STANDING | Preliminary | 12/16/2015 | 
20151214X81059 | Accident | CEN16WA063 | 12/11/2015 | Pickle Lake, Ontario, Canada, Canada | Canada | 51.608611 | -90.159722 |  |  | Fatal(1) | Substantial |  |  | CESSNA | 208B | No |  |  |  |  |  |  | 1 |  |  |  |  |  | Foreign |  | 
20151211X65346 | Accident | CEN16LA061 | 12/11/2015 | Lake Elmo, MN | United States | 45.001389 | -92.845277 | 21D | LAKE ELMO | Non-Fatal | Substantial | Airplane | N78067 | GLOBE | GC 1B | No | 1 | Reciprocating | Part 91: General Aviation |  | Personal |  |  |  | 2 |  | VMC | TAKEOFF | Factual | 07/05/2016 | 
20151211X13514 | Accident | WPR16FA037 | 12/10/2015 | McFarland, CA | United States | 35.673611 | -119.055556 |  | N/A | Fatal(4) | Destroyed | Helicopter | N408FC | BELL | 407 | No | 1 | Turbo Shaft | Part 135: Air Taxi & Commuter | NSCH |  | Rogers Helicopters (DBA: SkyLife) | 4 |  |  |  | VMC | CRUISE | Preliminary | 12/14/2015 | 
20151210X74548 | Accident | WPR16FA036 | 12/10/2015 | Hurricane, UT | United States | 37.080000 | -113.210000 |  | N/A | Fatal(2) | Substantial | Airplane | N307AB | BARNETT ALLEN S | RV7 | Yes | 1 | Reciprocating | Part 91: General Aviation |  | Personal |  | 2 |  |  |  |  | CRUISE | Preliminary | 12/15/2015 | 
20151222X24312 | Accident | GAA16LA086 | 12/10/2015 | Wheeling, IL | United States | 42.114167 | -87.901667 | PWK | CHICAGO EXECUTIVE | Non-Fatal | Substantial | Airplane | N50VM | HAWKER BEECHCRAFT CORP | 390 | No | 2 | Turbo Fan | Part 91: General Aviation |  | Personal |  |  |  |  | 7 | VMC | LANDING | Factual | 08/17/2016 | 
20151214X64447 | Accident | GAA16CA077 | 12/10/2015 | California, MD | United States | 38.316945 | -76.558611 | 2W6 | ST MARY'S COUNTY RGNL | Non-Fatal | Substantial | Airplane | N432FL | PIPER | PA 28 | No | 1 | Reciprocating | Part 91: General Aviation |  | Instructional |  |  |  |  | 2 | VMC | APPROACH | Probable Cause | 03/14/2016 | 
20151214X40342 | Accident | GAA16CA076 | 12/10/2015 | Abilene, TX | United States | 32.450833 | -99.648333 | 82TS | ELMDALE AIRPARK | Non-Fatal | Substantial | Airplane | N9868Q | CESSNA | 172 | No | 1 | Reciprocating | Part 91: General Aviation |  | Instructional |  |  |  | 2 |  | VMC | LANDING | Factual | 03/04/2016 | 
20151213X84149 | Accident | DCA16CA030 | 12/10/2015 | Great Falls, MT | United States | 47.493611 | -111.281389 |  | N/A | Non-Fatal |  | Airplane | N3014R | AIRBUS | A319 115 | No | 2 |  | Part 121: Air Carrier | SCHD |  | AMERICAN AIRLINES INC |  | 1 |  | 5 | IMC | DESCENT | Probable Cause | 04/20/2016 | 
20151217X60832 | Accident | CEN16WA065 | 12/10/2015 | Salinas Victoria, Mexico | Mexico |  |  |  |  | Unavailable | Substantial | Helicopter |  | ENSTROM | 280 | No |  |  |  |  |  |  |  |  |  |  |  | CLIMB | Foreign |  | 
20151211X65337 | Accident | CEN16FA062 | 12/10/2015 | Council Bluffs, IA | United States | 41.292222 | 95.867223 | OMA | Eppley Airfield | Fatal(1) | Substantial | Airplane | N145JR | PIPER | PA46 500TP | No | 1 | Turbo Prop | Part 91: General Aviation |  | Personal |  | 1 |  |  |  | VMC | APPROACH | Preliminary | 12/17/2015 | 
20151210X75818 | Accident | GAA16CA075 | 12/09/2015 | West Palm Beach, FL | United States | 26.845833 | -80.222500 | F45 | NORTH PALM BEACH COUNTY GENERA | Non-Fatal | Substantial | Helicopter | N4427H | ROBINSON HELICOPTER | R44 | No | 1 | Reciprocating | Part 91: General Aviation |  | Instructional |  |  |  |  | 1 | VMC | LANDING | Probable Cause | 03/14/2016 | 
20151229X32052 | Incident | WPR16IA044 | 12/08/2015 | Seal Beach, CA | United States |  |  |  |  | Incident | Minor | Airplane | N932AC | CESSNA AIRCRAFT CO | LC41-550FG | No | 2 | Reciprocating | Part 91: General Aviation |  | Personal |  |  |  |  | 1 | VMC |  | Preliminary | 01/05/2016 | 
20151207X34230 | Accident | ERA16FA063 | 12/07/2015 | Linesville, PA | United States | 41.693611 | -80.424723 | PA01 | Merrys Pymatuning Airport | Fatal(2) | Substantial | Airplane | N541TC | TIMOTHY C WILLIAMS | CCK-1865 | Yes | 1 | Reciprocating | Part 91: General Aviation |  | Personal |  | 2 |  |  |  | IMC | APPROACH | Probable Cause | 07/25/2016 | 
20151208X01729 | Accident | CEN16LA058 | 12/07/2015 | Angleton, TX | United States | 29.108611 | -95.461944 |  | N/A | Non-Fatal | Substantial | Helicopter | N607BP | MCDONNELL DOUGLAS HELICOPTER | 600N | No | 1 | Turbo Shaft | Part 91: General Aviation |  | Personal |  |  |  | 1 | 1 | VMC | MANEUVERING | Preliminary | 12/09/2015 | 
20151206X05007 | Accident | WPR16FA035 | 12/06/2015 | Apple Valley, CA | United States | 34.571945 | -117.185000 | APV | APPLE VALLEY | Fatal(2) | Destroyed | Airplane | N39AY | AERO VODOCHODY | L 39C | No | 1 | Turbo Fan | Part 91: General Aviation |  | Personal |  | 2 |  |  |  | VMC | CLIMB | Preliminary | 12/11/2015 | 
20151207X54053 | Accident | GAA16CA068 | 12/06/2015 | Hurtsboro, AL | United States | 32.165833 | -85.393333 | None | Private Property | Non-Fatal | Substantial | Airplane | N76WY | AVIAT AIRCRAFT INC | A-1C | No | 1 | Reciprocating | Part 91: General Aviation |  | Personal |  |  |  |  | 1 | VMC | LANDING | Probable Cause | 03/14/2016 | 
20160105X03834 | Accident | ERA16WA079 | 12/06/2015 | Trindade, Brazil | Brazil | -16.653333 | -49.609444 | SWNV | Aerodromo Nacional de Aviacao | Fatal(3) | Destroyed | Airplane |  | EMBRAER | EMB720 | No | 1 | Reciprocating | Non-U.S., Non-Commercial |  | Personal |  | 3 |  |  |  | UNK |  | Foreign |  | 
20151210X51647 | Incident | DCA16WA029 | 12/06/2015 | Singapore, Singapore | Singapore |  |  |  |  | Incident | Minor |  |  | BOEING | 737 | No |  |  |  |  |  |  |  |  |  |  |  |  | Foreign |  | 
20151210X10250 | Incident | CEN16WA060 | 12/06/2015 | Wexford, Ireland | Ireland | 52.151111 | -6.978611 |  |  | Incident |  | Helicopter |  | SIKORSKY | S92 | No |  |  |  |  |  |  |  |  |  |  |  | MANEUVERING | Foreign |  | 
20151208X41101 | Accident | CEN16FA059 | 12/06/2015 | Pattonsburg, MO | United States | 40.142500 | -94.368611 |  | N/A | Fatal(1) | Destroyed | Airplane | N8777T | CESSNA | 182C | No | 1 | Reciprocating | Part 91: General Aviation |  | Personal |  | 1 |  |  |  | VMC | MANEUVERING | Probable Cause | 06/27/2016 | 
20151207X11116 | Accident | CEN16FA054 | 12/06/2015 | Keytesville, MO | United States | 39.541944 | -92.898889 |  |  | Fatal(2) | Substantial | Airplane | N90123 | CESSNA | 140 | No | 1 | Reciprocating | Part 91: General Aviation |  | Personal |  | 2 |  |  |  |  |  | Preliminary | 12/10/2015 | 
20151207X13453 | Accident | CEN16LA055 | 12/05/2015 | Pontiac, MI | United States | 42.664722 | -83.435000 | KPTK | Oakland County Intl | Non-Fatal | Substantial | Airplane | N47480 | PIPER | PA 28-181 | No | 1 | Reciprocating | Part 91: General Aviation |  | Personal |  |  |  | 2 |  | IMC | APPROACH | Probable Cause | 08/16/2016 | 
20151207X23713 | Accident | ERA16LA062 | 12/04/2015 | Vine Grove, KY | United States | 37.815833 | -85.964722 | 70KY | VINE GROVE | Non-Fatal | Substantial | Airplane | N2991B | BEECH | D35 | No | 1 | Reciprocating | Part 91: General Aviation |  | Personal |  |  |  |  | 1 | VMC | TAKEOFF | Preliminary | 03/11/2016 | 
20151207X84000 | Accident | ERA16LA061 | 12/04/2015 | Millville, NJ | United States | 39.367778 | -75.072223 | MIV | MILLVILLE MUNI | Non-Fatal | Substantial | Airplane | N88F | PIPER | PA-24 | No | 1 | Reciprocating | Part 91: General Aviation |  | Instructional |  |  |  | 1 | 1 | VMC | TAKEOFF | Preliminary | 12/21/2015 | 
20151222X23224 | Incident | DCA16WA034 | 12/04/2015 | Perth, Australia | Australia |  |  |  |  | Incident |  |  |  | BOEING |  |  |  |  |  |  |  |  |  |  |  |  |  | APPROACH | Foreign |  | 
20151210X20400 | Accident | GAA16CA073 | 12/03/2015 | Boca Raton, FL | United States | 26.378611 | -80.107500 | BCT | BOCA RATON | Non-Fatal | Substantial | Airplane | N5185D | CESSNA | 172N | No | 1 | Reciprocating | Part 91: General Aviation |  | Personal |  |  |  |  | 1 | VMC | LANDING | Probable Cause | 04/05/2016 | 
